order_date,order_id,product_name,category,quantity,unit_price,revenue,cost,customer_city
2025-08-01,UT-10001,Printed T-Shirt,Shirts,2,1500,3000,2102,Peshawar
2025-08-01,UT-10002,Cotton Chinos,Trousers,1,2790,2790,1951,Islamabad
2025-08-02,UT-10003,Printed T-Shirt,Shirts,2,1460,2920,2180,Multan
2025-08-02,UT-10004,Cotton Chinos,Trousers,1,2790,2790,1986,Hyderabad
2025-08-02,UT-10005,Silk Dupatta,Accessories,3,4430,13290,6453,Sialkot
2025-08-02,UT-10006,Leather Loafers,Footwear,1,5600,5600,4067,Karachi
2025-08-03,UT-10007,Printed T-Shirt,Shirts,2,1530,3060,2246,Islamabad
2025-08-03,UT-10008,Slim Fit Jeans,Trousers,2,3160,6320,4520,Peshawar
2025-08-03,UT-10009,Leather Belt,Accessories,2,1230,2460,1632,Islamabad
2025-08-03,UT-10010,Cotton Cap,Accessories,2,830,1660,1210,Islamabad
2025-08-04,UT-10011,Classic Blue Shirt,Shirts,2,2400,4800,3782,Multan
2025-08-04,UT-10012,Slim Fit Jeans,Trousers,2,3240,6480,4872,Islamabad
2025-08-05,UT-10013,Denim Jacket,Outerwear,1,4490,4490,3350,Peshawar
2025-08-05,UT-10014,Leather Loafers,Footwear,1,5610,5610,4205,Hyderabad
2025-08-06,UT-10015,Cotton Kurta,Kurtas,2,2020,4040,2948,Lahore
2025-08-06,UT-10016,Leather Belt,Accessories,2,1170,2340,1580,Rawalpindi
2025-08-07,UT-10017,Printed T-Shirt,Shirts,2,1490,2980,2170,Faisalabad
2025-08-07,UT-10018,Printed T-Shirt,Shirts,2,1460,2920,2100,Multan
2025-08-07,UT-10019,Formal Dress Pants,Trousers,1,3070,3070,2126,Karachi
2025-08-07,UT-10020,Leather Loafers,Footwear,1,5340,5340,3842,Rawalpindi
2025-08-08,UT-10021,Printed T-Shirt,Shirts,2,1530,3060,2256,Islamabad
2025-08-09,UT-10022,Classic Blue Shirt,Shirts,2,2410,4820,4098,Faisalabad
2025-08-09,UT-10023,Printed T-Shirt,Shirts,2,1470,2940,2070,Rawalpindi
2025-08-09,UT-10024,White Formal Shirt,Shirts,2,2530,5060,3522,Peshawar
2025-08-09,UT-10025,White Formal Shirt,Shirts,2,2650,5300,3788,Rawalpindi
2025-08-09,UT-10026,Leather Belt,Accessories,2,1210,2420,1660,Karachi
2025-08-09,UT-10027,Cotton Cap,Accessories,2,850,1700,1240,Peshawar
2025-08-09,UT-10028,Clearance Chappal,Footwear,2,600,1200,1450,Multan
2025-08-10,UT-10029,Cotton Chinos,Trousers,1,2790,2790,2018,Multan
2025-08-10,UT-10030,Embroidered Kurta,Kurtas,1,3560,3560,2430,Peshawar
2025-08-10,UT-10031,Leather Belt,Accessories,2,1180,2360,1622,Gujranwala
2025-08-11,UT-10032,Printed T-Shirt,Shirts,2,1490,2980,2138,Faisalabad
2025-08-11,UT-10033,Clearance Chappal,Footwear,1,610,610,718,Multan
2025-08-12,UT-10034,Checkered Casual Shirt,Shirts,2,2070,4140,2932,Sialkot
2025-08-12,UT-10035,Silk Dupatta,Accessories,2,4630,9260,4552,Rawalpindi
